value,regime
0.0,0.0
0.05002915670857863,0.0
0.09993301616303926,0.0
0.1495865949143112,0.0
0.19886553633749857,0.0
0.24764642208113616,0.0
0.2958070811665539,0.0
0.3432268959632157,0.0
0.38978710427372076,0.0
0.4353710967719027,0.0
0.4798647090490943,0.0
0.5231565075371343,0.0
0.5651380685920271,0.0
0.605704250039292,0.0
0.6447534545009243,0.0
0.6821878838444657,0.0
0.717913784116926,0.0
0.7518416803501158,0.0
0.78388660064933,0.0
0.8139682890041527,0.0
0.8420114062884005,0.0
0.8679457189458079,0.0
0.8917062748888882,0.0
0.9132335661704393,0.0
0.9324736780202824,0.0
0.9493784238739756,0.0
0.9639054660553243,0.0
0.9760184218104399,0.0
0.985686954427788,0.0
0.9928868492160164,0.0
0.9976000741492778,0.0
0.9998148250281604,0.0
0.9995255550431251,0.0
0.9967329886664036,0.0
0.9914441198375697,0.0
0.9836721944473249,0.0
0.9734366771633683,0.0
0.9607632026814362,0.0
0.9456835115235996,0.0
0.9282353705446159,0.0
0.9084624783454199,0.0
0.8864143558306506,0.0
0.8621462221843063,0.0
0.835718856574146,0.0
0.8071984459311994,0.0
0.776656419185614,0.0
0.7441692683739977,0.0
0.7098183570662889,0.0
0.6736897165919457,0.0
0.6358738305758035,0.0
0.5964654083232273,0.0
0.5555631476221117,0.0
0.513269487555788,0.0
0.4696903519459145,0.0
0.4249348840678924,0.0
0.37911517330321154,0.0
0.33234597441331465,0.0
0.2847444201380626,0.0
0.23642972783858707,0.0
0.18752290091924165,0.0
0.13814642577643546,0.0
0.08842396503333558,0.0
0.03848004782872783,0.0
-0.011560242064297474,0.0
-0.06157157950873298,0.0
-0.11142871187853388,0.0
-0.16100677275189493,0.0
-0.21018159463728486,0.0
-0.2588300199490208,0.0
-0.30683020945354866,0.0
-0.35406194741393143,0.0
-0.40040694266831467,0.0
-0.4457491248883234,0.0
-0.48997493527541586,0.0
-0.532973610967149,0.0
-0.5746374624410662,0.0
-0.6148621432214489,0.0
-0.6535469112134646,0.0
-0.6905948810101928,0.0
-0.7259132665406387,0.0
-0.7594136134510215,0.0
-0.7910120206373449,0.0
-0.8206293503744214,0.0
-0.8481914265150899,0.0
-0.8736292202632362,0.0
-0.896879023055351,0.0
-0.9178826061176496,0.0
-0.93658736629914,0.0
-0.9529464578154061,0.0
-0.9669189095731556,0.0
-0.9784697277816927,0.0
-0.9875699835943296,0.0
-0.9941968855602381,0.0
-0.9983338367052883,0.0
-0.9999704760989149,0.0
-0.9991027048029089,0.0
-0.9957326961371449,0.0
-0.9898688902365352,0.0
-0.981525972912842,0.0
-0.9707248388742866,0.0
-0.9574925393950745,0.0
-0.9418622145658946,0.0
-0.9238730102950713,0.0
-0.9035699802682392,0.0
-0.8810039731120792,0.0
-0.8562315050447148,0.0
-0.8293146183317122,0.0
-0.800320725902179,0.0
-0.769322442514122,0.0
-0.7363974028918977,0.0
-0.7016280672912412,0.0
-0.6651015149788218,0.0
-0.6269092261435582,0.0
-0.5871468527858912,0.0
-0.5459139791588185,0.0
-0.5033138723606636,0.0
-0.45945322370421515,0.0
-0.41444188150997346,0.0
-0.3683925759927202,0.0
-0.32142063693042794,0.0
-0.27364370482260353,0.0
-0.225181436261465,0.0
-0.17615520425384543,0.0
-0.1266877942443624,0.0
-0.07690309660115911,0.0
